game_id,season,season_type,week,start_date,home_team_id,home_team,away_team_id,away_team,provider,spread,spread_open,over_under,over_under_open,home_moneyline,away_moneyline
401677189,2024,postseason,1,2025-01-10 00:30:00+00:00,213,Penn State,87,Notre Dame,DraftKings,-1.5,,45.5,47,-115,-105
401677189,2024,postseason,1,2025-01-10 00:30:00+00:00,213,Penn State,87,Notre Dame,Bovada,-1,1.5,46,46,105,-125
401677189,2024,postseason,1,2025-01-10 00:30:00+00:00,213,Penn State,87,Notre Dame,ESPN Bet,-1.5,2,45.5,46.5,-120,-105
401677184,2024,postseason,1,2025-01-02 21:00:00+00:00,61,Georgia,87,Notre Dame,ESPN Bet,1.5,-1.5,46.5,44.5,-105,-115
401677184,2024,postseason,1,2025-01-02 21:00:00+00:00,61,Georgia,87,Notre Dame,DraftKings,1,,45.5,,-110,-110
401677184,2024,postseason,1,2025-01-02 21:00:00+00:00,61,Georgia,87,Notre Dame,Bovada,1,-1.5,46,44,-120,100
401677077,2024,postseason,1,2024-12-15 02:00:00+00:00,2711,Western Michigan,6,South Alabama,DraftKings,6,10,53.5,,185,-225
401677077,2024,postseason,1,2024-12-15 02:00:00+00:00,2711,Western Michigan,6,South Alabama,ESPN Bet,5.5,8.5,54.5,59.5,180,-215
401677077,2024,postseason,1,2024-12-15 02:00:00+00:00,2711,Western Michigan,6,South Alabama,Bovada,9,7,57.5,57,255,-310
401677080,2024,postseason,1,2024-12-18 02:00:00+00:00,277,West Virginia,235,Memphis,DraftKings,5,2,60,,170,-205
401677080,2024,postseason,1,2024-12-18 02:00:00+00:00,277,West Virginia,235,Memphis,ESPN Bet,5.5,1.5,60.5,56.5,175,-210
401677080,2024,postseason,1,2024-12-18 02:00:00+00:00,277,West Virginia,235,Memphis,Bovada,5,3,60.5,56.5,130,-150
401677081,2024,postseason,1,2024-12-19 02:00:00+00:00,2439,UNLV,25,California,DraftKings,-3,,45,,-148,124
401677081,2024,postseason,1,2024-12-19 02:00:00+00:00,2439,UNLV,25,California,ESPN Bet,-3.5,3,44.5,51.5,-165,140
401677081,2024,postseason,1,2024-12-19 02:00:00+00:00,2439,UNLV,25,California,Bovada,-3,3.5,45.5,51.5,150,-175
401677079,2024,postseason,1,2024-12-18 22:30:00+00:00,256,James Madison,98,Western Kentucky,DraftKings,-7.5,,50.5,,-285,230
401677079,2024,postseason,1,2024-12-18 22:30:00+00:00,256,James Madison,98,Western Kentucky,ESPN Bet,-7.5,-7,50.5,53.5,-300,250
401677079,2024,postseason,1,2024-12-18 22:30:00+00:00,256,James Madison,98,Western Kentucky,Bovada,-7,-8,50.5,52.5,-310,255
401677082,2024,postseason,1,2024-12-20 00:00:00+00:00,2534,Sam Houston,290,Georgia Southern,DraftKings,3.5,,48,,140,-166
401677082,2024,postseason,1,2024-12-20 00:00:00+00:00,2534,Sam Houston,290,Georgia Southern,ESPN Bet,3.5,5.5,48.5,46.5,145,-170
401677082,2024,postseason,1,2024-12-20 00:00:00+00:00,2534,Sam Houston,290,Georgia Southern,Bovada,4.5,6,48.5,47,185,-225
401677179,2024,postseason,1,2024-12-21 01:00:00+00:00,87,Notre Dame,84,Indiana,Bovada,-7,-7.5,50,50.5,-320,260
401677179,2024,postseason,1,2024-12-21 01:00:00+00:00,87,Notre Dame,84,Indiana,DraftKings,-7,,50.5,,-265,215
401677179,2024,postseason,1,2024-12-21 01:00:00+00:00,87,Notre Dame,84,Indiana,ESPN Bet,-6.5,-7.5,50.5,50.5,-275,225
401677083,2024,postseason,1,2024-12-20 17:00:00+00:00,55,Jacksonville State,195,Ohio,DraftKings,6.5,2.5,57.5,52,185,-225
401677083,2024,postseason,1,2024-12-20 17:00:00+00:00,55,Jacksonville State,195,Ohio,ESPN Bet,5.5,2,56.5,53.5,210,-250
401677083,2024,postseason,1,2024-12-20 17:00:00+00:00,55,Jacksonville State,195,Ohio,Bovada,6.5,2,58,54,110,-130
401677084,2024,postseason,1,2024-12-20 20:30:00+00:00,57,Florida,2655,Tulane,DraftKings,-10,,50.5,49.5,-395,310
401677084,2024,postseason,1,2024-12-20 20:30:00+00:00,57,Florida,2655,Tulane,ESPN Bet,-9.5,-12,49.5,51.5,-400,300
401677084,2024,postseason,1,2024-12-20 20:30:00+00:00,57,Florida,2655,Tulane,Bovada,-10,-13,49.5,50.5,-480,350
401677176,2024,postseason,1,2024-12-21 21:00:00+00:00,251,Texas,228,Clemson,DraftKings,-13.5,,49.5,52.5,-650,470
401677176,2024,postseason,1,2024-12-21 21:00:00+00:00,251,Texas,228,Clemson,Bovada,-13.5,-10.5,49.5,52,-435,325
401677176,2024,postseason,1,2024-12-21 21:00:00+00:00,251,Texas,228,Clemson,ESPN Bet,-13.5,-11,49.5,51.5,-650,425
401677178,2024,postseason,1,2024-12-21 17:00:00+00:00,213,Penn State,2567,SMU,DraftKings,-9,,52.5,53,-325,260
401677178,2024,postseason,1,2024-12-21 17:00:00+00:00,213,Penn State,2567,SMU,Bovada,-7.5,-9,53,53,-370,285
401677178,2024,postseason,1,2024-12-21 17:00:00+00:00,213,Penn State,2567,SMU,ESPN Bet,-7.5,-9,50.5,53.5,-360,280
401677177,2024,postseason,1,2024-12-22 01:00:00+00:00,194,Ohio State,2633,Tennessee,DraftKings,-7.5,,47,,-290,235
401677177,2024,postseason,1,2024-12-22 01:00:00+00:00,194,Ohio State,2633,Tennessee,Bovada,-8,-7,47,48,,
401677177,2024,postseason,1,2024-12-22 01:00:00+00:00,194,Ohio State,2633,Tennessee,ESPN Bet,-7.5,-7.5,46.5,47.5,-300,250
401677085,2024,postseason,1,2024-12-23 16:00:00+00:00,2636,UTSA,324,Coastal Carolina,DraftKings,-12.5,,56.5,57.5,-440,340
401677085,2024,postseason,1,2024-12-23 16:00:00+00:00,2636,UTSA,324,Coastal Carolina,ESPN Bet,13.5,-6.5,56.5,56.5,-550,380
401677085,2024,postseason,1,2024-12-23 16:00:00+00:00,2636,UTSA,324,Coastal Carolina,Bovada,-12.5,-8,57,57,-320,260
401677086,2024,postseason,1,2024-12-23 19:30:00+00:00,278,Fresno State,2459,Northern Illinois,DraftKings,2,,41,,105,-125
401677086,2024,postseason,1,2024-12-23 19:30:00+00:00,278,Fresno State,2459,Northern Illinois,ESPN Bet,2.5,2.5,40.5,42.5,110,-130
401677086,2024,postseason,1,2024-12-23 19:30:00+00:00,278,Fresno State,2459,Northern Illinois,Bovada,3,3,40.5,40.5,125,-145
401677088,2024,postseason,1,2024-12-26 22:30:00+00:00,2306,Kansas State,164,Rutgers,ESPN Bet,-7.5,-7,51.5,51.5,-290,240
401677088,2024,postseason,1,2024-12-26 22:30:00+00:00,2306,Kansas State,164,Rutgers,Bovada,-7,-7,52.5,51,-260,215
401677089,2024,postseason,1,2024-12-27 02:00:00+00:00,189,Bowling Green,2032,Arkansas State,DraftKings,-10.5,-6.5,54.5,,-380,300
401677089,2024,postseason,1,2024-12-27 02:00:00+00:00,189,Bowling Green,2032,Arkansas State,ESPN Bet,-10.5,-6.5,54.5,49.5,-380,290
401677089,2024,postseason,1,2024-12-27 02:00:00+00:00,189,Bowling Green,2032,Arkansas State,Bovada,-10,-7,53.5,50.5,-260,215
401729867,2024,postseason,1,2024-12-28 01:00:00+00:00,265,Washington State,183,Syracuse,DraftKings,19,,58.5,60.5,675,-1050
401729867,2024,postseason,1,2024-12-28 01:00:00+00:00,265,Washington State,183,Syracuse,ESPN Bet,18.5,6.5,57.5,60.5,600,-1000
401729867,2024,postseason,1,2024-12-28 01:00:00+00:00,265,Washington State,183,Syracuse,Bovada,19,6.5,58.5,61.5,210,-250
401677090,2024,postseason,1,2024-12-27 17:00:00+00:00,2426,Navy,201,Oklahoma,Bovada,2.5,7,42.5,43.5,235,-285
401677090,2024,postseason,1,2024-12-27 17:00:00+00:00,2426,Navy,201,Oklahoma,DraftKings,-1,,44,46.5,-112,-108
401677090,2024,postseason,1,2024-12-27 17:00:00+00:00,2426,Navy,201,Oklahoma,ESPN Bet,2.5,8.5,44.5,44.5,-115,-105
401677091,2024,postseason,1,2024-12-27 20:30:00+00:00,238,Vanderbilt,59,Georgia Tech,DraftKings,3,,49,,120,-142
401677091,2024,postseason,1,2024-12-27 20:30:00+00:00,238,Vanderbilt,59,Georgia Tech,ESPN Bet,2.5,2.5,48.5,53.5,120,-140
