game_id,season,season_type,week,start_date,home_team_id,home_team,away_team_id,away_team,provider,spread,spread_open,over_under,over_under_open,home_moneyline,away_moneyline
401331164,2021,postseason,1,2021-12-17 17:00:00+00:00,2649,Toledo,2393,Middle Tennessee,Bovada,-10,-9.5,50,53,300,-395
401331164,2021,postseason,1,2021-12-17 17:00:00+00:00,2649,Toledo,2393,Middle Tennessee,teamrankings,-10.5,,50,,,
401331164,2021,postseason,1,2021-12-17 17:00:00+00:00,2649,Toledo,2393,Middle Tennessee,consensus,-10.5,,50,,,
401331164,2021,postseason,1,2021-12-17 17:00:00+00:00,2649,Toledo,2393,Middle Tennessee,William Hill (New Jersey),-10.5,,50,,,
401331165,2021,postseason,1,2021-12-17 23:00:00+00:00,324,Coastal Carolina,2459,Northern Illinois,Bovada,-11,-9.5,63,63.5,300,-395
401331165,2021,postseason,1,2021-12-17 23:00:00+00:00,324,Coastal Carolina,2459,Northern Illinois,teamrankings,-12.5,,63.5,,,
401331165,2021,postseason,1,2021-12-17 23:00:00+00:00,324,Coastal Carolina,2459,Northern Illinois,consensus,-12,,63.5,,,
401331165,2021,postseason,1,2021-12-17 23:00:00+00:00,324,Coastal Carolina,2459,Northern Illinois,William Hill (New Jersey),-12,,63.5,,,
401331166,2021,postseason,1,2021-12-18 16:00:00+00:00,2026,App State,98,Western Kentucky,Bovada,-3,-2.5,67,67.5,130,-150
401331166,2021,postseason,1,2021-12-18 16:00:00+00:00,2026,App State,98,Western Kentucky,teamrankings,1,,68.5,,,
401331166,2021,postseason,1,2021-12-18 16:00:00+00:00,2026,App State,98,Western Kentucky,consensus,1,,67.5,,,
401331166,2021,postseason,1,2021-12-18 16:00:00+00:00,2026,App State,98,Western Kentucky,William Hill (New Jersey),1,,68,,,
401331167,2021,postseason,1,2021-12-18 19:15:00+00:00,278,Fresno State,2638,UTEP,Bovada,-11.5,-13,51.5,51,-470,345
401331167,2021,postseason,1,2021-12-18 19:15:00+00:00,278,Fresno State,2638,UTEP,teamrankings,-13.5,,54.5,,,
401331167,2021,postseason,1,2021-12-18 19:15:00+00:00,278,Fresno State,2638,UTEP,consensus,-13,,54.5,,,
401331167,2021,postseason,1,2021-12-18 19:15:00+00:00,278,Fresno State,2638,UTEP,William Hill (New Jersey),-13,,54.5,,,
401331168,2021,postseason,1,2021-12-18 20:30:00+00:00,252,BYU,5,UAB,Bovada,-7,-8,54.5,55,-275,225
401331168,2021,postseason,1,2021-12-18 20:30:00+00:00,252,BYU,5,UAB,teamrankings,-5.5,,54.5,,,
401331168,2021,postseason,1,2021-12-18 20:30:00+00:00,252,BYU,5,UAB,consensus,-6,,54,,,
401331168,2021,postseason,1,2021-12-18 20:30:00+00:00,252,BYU,5,UAB,William Hill (New Jersey),-6,,54,,,
401331169,2021,postseason,1,2021-12-18 22:45:00+00:00,2335,Liberty,2199,Eastern Michigan,Bovada,-9.5,-8,58.5,57.5,-330,265
401331169,2021,postseason,1,2021-12-18 22:45:00+00:00,2335,Liberty,2199,Eastern Michigan,teamrankings,-9.5,,58,,,
401331169,2021,postseason,1,2021-12-18 22:45:00+00:00,2335,Liberty,2199,Eastern Michigan,consensus,-9.5,,58.5,,,
401331169,2021,postseason,1,2021-12-18 22:45:00+00:00,2335,Liberty,2199,Eastern Michigan,William Hill (New Jersey),-9.5,,58.5,,,
401331170,2021,postseason,1,2021-12-19 00:30:00+00:00,204,Oregon State,328,Utah State,teamrankings,-7,,68,,,
401331170,2021,postseason,1,2021-12-19 00:30:00+00:00,204,Oregon State,328,Utah State,consensus,-6.5,,68.5,,,
