game_id,season,season_type,week,start_date,home_team_id,home_team,away_team_id,away_team,spread_provider_count,consensus_spread,spread_mean,spread_median,spread_min,spread_max,spread_range,spread_stddev,spread_open_provider_count,consensus_spread_open,spread_open_mean,spread_open_median,spread_open_min,spread_open_max,spread_open_range,spread_open_stddev,total_provider_count,consensus_total,total_mean,total_median,total_min,total_max,total_range,total_stddev,total_open_provider_count,consensus_total_open,total_open_mean,total_open_median,total_open_min,total_open_max,total_open_range,total_open_stddev
401281942,2021,regular,1,2021-09-04 19:30:00+00:00,2390,Miami,333,Alabama,5,19.5,19.5,19.5,19.5,19.5,0.0,0.0,1,18.5,18.5,18.5,18.5,18.5,0.0,0.0,5,61.5,61.5,61.5,61.5,61.5,0.0,0.0,1,64.5,64.5,64.5,64.5,64.5,0.0,0.0
401281943,2021,regular,1,2021-09-04 18:00:00+00:00,8,Arkansas,242,Rice,5,-19.5,-19.6,-19.5,-20.0,-19.5,0.5,0.22360679774997896,1,-21.5,-21.5,-21.5,-21.5,-21.5,0.0,0.0,5,50.0,49.9,50.0,49.5,50.0,0.5,0.22360679774997896,1,51.0,51.0,51.0,51.0,51.0,0.0,0.0
401281944,2021,regular,1,2021-09-04 23:00:00+00:00,2,Auburn,2006,Akron,5,-37.5,-37.3,-37.5,-37.5,-37.0,0.5,0.27386127875258304,1,-35.5,-35.5,-35.5,-35.5,-35.5,0.0,0.0,5,56.0,56.0,56.0,55.5,56.5,1.0,0.3535533905932738,1,55.0,55.0,55.0,55.0,55.0,0.0,0.0
401281945,2021,regular,1,2021-09-04 23:30:00+00:00,57,Florida,2226,Florida Atlantic,5,-23.5,-23.5,-23.5,-23.5,-23.5,0.0,0.0,1,-25.5,-25.5,-25.5,-25.5,-25.5,0.0,0.0,5,52.0,51.8,52.0,51.5,52.0,0.5,0.27386127875258304,1,53.0,53.0,53.0,53.0,53.0,0.0,0.0
401281946,2021,regular,1,2021-09-04 23:30:00+00:00,228,Clemson,61,Georgia,5,-2.5,-2.6,-2.5,-3.0,-2.5,0.5,0.22360679774997896,1,-4.5,-4.5,-4.5,-4.5,-4.5,0.0,0.0,5,51.5,51.5,51.5,51.5,51.5,0.0,0.0,1,52.0,52.0,52.0,52.0,52.0,0.0,0.0
401281947,2021,regular,1,2021-09-04 16:00:00+00:00,96,Kentucky,2433,UL Monroe,5,-31.0,-31.1,-31.0,-31.5,-31.0,0.5,0.22360679774997896,1,-28.5,-28.5,-28.5,-28.5,-28.5,0.0,0.0,5,54.0,54.1,54.0,54.0,54.5,0.5,0.22360679774997896,1,54.0,54.0,54.0,54.0,54.0,0.0,0.0
401281948,2021,regular,1,2021-09-05 00:30:00+00:00,26,UCLA,99,LSU,5,2.0,1.9,2.0,1.5,2.5,1.0,0.4183300132670378,1,4.0,4.0,4.0,4.0,4.0,0.0,0.0,5,63.5,63.7,63.5,63.5,64.0,0.5,0.27386127875258304,1,69.0,69.0,69.0,69.0,69.0,0.0,0.0
401281949,2021,regular,1,2021-09-04 20:00:00+00:00,344,Mississippi State,2348,Louisiana Tech,5,-20.5,-20.9,-20.5,-21.5,-20.5,1.0,0.5477225575051661,1,-27.5,-27.5,-27.5,-27.5,-27.5,0.0,0.0,5,52.5,52.7,52.5,52.5,53.0,0.5,0.27386127875258304,1,52.5,52.5,52.5,52.5,52.5,0.0,0.0
401281950,2021,regular,1,2021-09-04 20:00:00+00:00,142,Missouri,2117,Central Michigan,5,-14.0,-13.8,-14.0,-14.0,-13.5,0.5,0.27386127875258304,1,-11.0,-11.0,-11.0,-11.0,-11.0,0.0,0.0,5,59.0,58.9,59.0,58.5,59.0,0.5,0.22360679774997896,1,60.5,60.5,60.5,60.5,60.5,0.0,0.0
401281951,2021,regular,1,2021-09-04 23:00:00+00:00,2579,South Carolina,2197,Eastern Illinois,3,-31.5,-31.333333333333332,-31.5,-31.5,-31.0,0.5,0.28867513459481287,1,-31.5,-31.5,-31.5,-31.5,-31.5,0.0,0.0,3,55.5,55.5,55.5,55.5,55.5,0.0,0.0,1,55.5,55.5,55.5,55.5,55.5,0.0,0.0
401281952,2021,regular,1,2021-09-03 00:00:00+00:00,2633,Tennessee,189,Bowling Green,5,-37.0,-37.3,-37.0,-38.5,-37.0,1.5,0.6708203932499369,1,-30.5,-30.5,-30.5,-30.5,-30.5,0.0,0.0,5,60.5,60.7,60.5,60.5,61.5,1.0,0.4472135954999579,1,58.5,58.5,58.5,58.5,58.5,0.0,0.0
401282049,2021,regular,1,2021-08-29 01:30:00+00:00,166,New Mexico State,2638,UTEP,5,9.5,9.6,9.5,9.5,10.0,0.5,0.22360679774997896,1,8.0,8.0,8.0,8.0,8.0,0.0,0.0,5,59.5,59.2,59.5,58.5,59.5,1.0,0.4472135954999579,1,54.0,54.0,54.0,54.0,54.0,0.0,0.0
