game_id,season,season_type,week,start_date,completed,neutral_site,conference_game,attendance,venue_id,venue,home_team_id,home_team,away_team_id,away_team,home_points,away_points,home_abbreviation,home_conference,home_classification,away_abbreviation,away_conference,away_classification
401110723,2019,regular,1,2019-08-24 23:00:00+00:00,True,True,False,66543,4013,Camping World Stadium,57,Florida,2390,Miami,24,20,FLA,SEC,fbs,MIA,ACC,fbs
401114164,2019,regular,1,2019-08-25 02:30:00+00:00,True,False,False,22396,3610,Aloha Stadium,62,Hawai'i,12,Arizona,45,38,HAW,Mountain West,fbs,ARIZ,Pac-12,fbs
401117854,2019,regular,1,2019-08-29 23:00:00+00:00,True,False,False,38032,3854,Nippert Stadium,2132,Cincinnati,26,UCLA,24,14,CIN,American Athletic,fbs,UCLA,Pac-12,fbs
401119255,2019,regular,1,2019-08-29 23:00:00+00:00,True,False,False,18412,3965,UB Stadium,2084,Buffalo,2523,Robert Morris,38,10,BUF,Mid-American,fbs,RMU,NEC,fcs
401119254,2019,regular,1,2019-08-29 23:00:00+00:00,True,False,False,17620,3700,Doyt L. Perry Stadium,189,Bowling Green,2415,Morgan State,46,3,BGSU,Mid-American,fbs,MORG,MEAC,fcs
401117855,2019,regular,1,2019-08-29 23:00:00+00:00,True,False,False,19648,3892,Pratt & Whitney Stadium,41,UConn,2681,Wagner,24,21,CONN,American Athletic,fbs,WAG,NEC,fcs
401114246,2019,regular,1,2019-08-29 23:30:00+00:00,True,False,False,17120,3796,Houchens Industries-L.T. Smith Stadium,98,Western Kentucky,2110,Central Arkansas,28,35,WKU,Conference USA,fbs,CARK,Southland,fcs
401117853,2019,regular,1,2019-08-29 23:30:00+00:00,True,False,False,44073,3652,FBC Mortgage Stadium,2116,UCF,50,Florida A&M,62,0,UCF,American Athletic,fbs,FAMU,MEAC,fcs
401135910,2019,regular,1,2019-08-29 23:30:00+00:00,True,False,False,16119,4418,Jerry Richardson Stadium,2429,Charlotte,2241,Gardner-Webb,49,28,CLT,Conference USA,fbs,GWEB,Big South,fcs
401114237,2019,regular,1,2019-08-30 00:00:00+00:00,True,False,False,39165,3803,Legion Field,5,UAB,2011,Alabama State,24,19,UAB,Conference USA,fbs,ALST,SWAC,fcs
401111653,2019,regular,1,2019-08-30 00:00:00+00:00,True,False,True,79118,3836,"Memorial Stadium (Clemson, SC)",228,Clemson,59,Georgia Tech,52,14,CLEM,ACC,fbs,GT,ACC,fbs
