season,season_type,week,team_id,school,conference,cfp_rank,ap_rank,coaches_rank,effective_rank,ranking_source
2018,postseason,1,228,Clemson,ACC,,1,1,1,AP
2018,postseason,1,333,Alabama,SEC,,2,2,2,AP
2018,postseason,1,194,Ohio State,Big Ten,,3,3,3,AP
2018,postseason,1,201,Oklahoma,Big 12,,4,4,4,AP
2018,postseason,1,87,Notre Dame,FBS Independents,,5,5,5,AP
2018,postseason,1,99,LSU,SEC,,6,7,6,AP
2018,postseason,1,57,Florida,SEC,,7,6,7,AP
2018,postseason,1,61,Georgia,SEC,,7,8,7,AP
2018,postseason,1,251,Texas,Big 12,,9,9,9,AP
2018,postseason,1,265,Washington State,Pac-12,,10,10,10,AP
2018,postseason,1,2116,UCF,American Athletic,,11,12,11,AP
2018,postseason,1,96,Kentucky,SEC,,12,11,12,AP
2018,postseason,1,264,Washington,Pac-12,,13,13,13,AP
2018,postseason,1,130,Michigan,Big Ten,,14,14,14,AP
2018,postseason,1,183,Syracuse,ACC,,15,15,15,AP
2018,postseason,1,245,Texas A&M,SEC,,16,16,16,AP
2018,postseason,1,213,Penn State,Big Ten,,17,17,17,AP
2018,postseason,1,278,Fresno State,Mountain West,,18,18,18,AP
2018,postseason,1,349,Army,FBS Independents,,19,20,19,AP
2018,postseason,1,277,West Virginia,Big 12,,20,22,20,AP
2018,postseason,1,77,Northwestern,Big Ten,,21,19,21,AP
2018,postseason,1,328,Utah State,Mountain West,,22,21,22,AP
2018,postseason,1,68,Boise State,Mountain West,,23,24,23,AP
2018,postseason,1,2132,Cincinnati,American Athletic,,24,23,24,AP
2018,postseason,1,344,Mississippi State,SEC,,,25,25,Coaches
2018,postseason,1,2294,Iowa,Big Ten,,25,,25,AP
2018,regular,1,333,Alabama,SEC,,1,1,1,AP
2018,regular,1,228,Clemson,ACC,,2,2,2,AP
2018,regular,1,61,Georgia,SEC,,3,4,3,AP
2018,regular,1,275,Wisconsin,Big Ten,,4,7,4,AP
2018,regular,1,194,Ohio State,Big Ten,,5,3,5,AP
2018,regular,1,264,Washington,Pac-12,,6,6,6,AP
2018,regular,1,201,Oklahoma,Big 12,,7,5,7,AP
2018,regular,1,2390,Miami,ACC,,8,8,8,AP
2018,regular,1,2,Auburn,SEC,,9,10,9,AP
2018,regular,1,213,Penn State,Big Ten,,10,9,10,AP
2018,regular,1,127,Michigan State,Big Ten,,11,12,11,AP
2018,regular,1,87,Notre Dame,FBS Independents,,12,11,12,AP
2018,regular,1,24,Stanford,Pac-12,,13,13,13,AP
2018,regular,1,130,Michigan,Big Ten,,14,14,14,AP
2018,regular,1,30,USC,Pac-12,,15,15,15,AP
2018,regular,1,2628,TCU,Big 12,,16,16,16,AP
2018,regular,1,277,West Virginia,Big 12,,17,20,17,AP
2018,regular,1,344,Mississippi State,SEC,,18,18,18,AP
2018,regular,1,52,Florida State,ACC,,19,19,19,AP
2018,regular,1,259,Virginia Tech,ACC,,20,17,20,AP
2018,regular,1,2116,UCF,American Athletic,,21,23,21,AP
2018,regular,1,68,Boise State,Mountain West,,22,22,22,AP
2018,regular,1,251,Texas,Big 12,,23,21,23,AP
2018,regular,1,2483,Oregon,Pac-12,,24,,24,AP
2018,regular,1,99,LSU,SEC,,25,24,25,AP
2018,regular,1,197,Oklahoma State,Big 12,,,25,25,Coaches
2018,regular,2,333,Alabama,SEC,,1,1,1,AP
2018,regular,2,228,Clemson,ACC,,2,2,2,AP
2018,regular,2,61,Georgia,SEC,,3,3,3,AP
2018,regular,2,194,Ohio State,Big Ten,,4,4,4,AP
2018,regular,2,275,Wisconsin,Big Ten,,5,6,5,AP
2018,regular,2,201,Oklahoma,Big 12,,6,5,6,AP
2018,regular,2,2,Auburn,SEC,,7,7,7,AP
2018,regular,2,87,Notre Dame,FBS Independents,,8,8,8,AP
2018,regular,2,264,Washington,Pac-12,,9,11,9,AP
2018,regular,2,24,Stanford,Pac-12,,10,9,10,AP
2018,regular,2,99,LSU,SEC,,11,15,11,AP
2018,regular,2,259,Virginia Tech,ACC,,12,14,12,AP
2018,regular,2,213,Penn State,Big Ten,,13,10,13,AP
2018,regular,2,277,West Virginia,Big 12,,14,17,14,AP
2018,regular,2,127,Michigan State,Big Ten,,15,13,15,AP
2018,regular,2,2628,TCU,Big 12,,16,16,16,AP
2018,regular,2,30,USC,Pac-12,,17,12,17,AP
2018,regular,2,344,Mississippi State,SEC,,18,18,18,AP
2018,regular,2,2116,UCF,American Athletic,,19,20,19,AP
2018,regular,2,68,Boise State,Mountain West,,20,19,20,AP
2018,regular,2,130,Michigan,Big Ten,,21,22,21,AP
2018,regular,2,2390,Miami,ACC,,22,21,22,AP
2018,regular,2,197,Oklahoma State,Big 12,,,23,23,Coaches
2018,regular,2,2483,Oregon,Pac-12,,23,,23,AP
2018,regular,2,2579,South Carolina,SEC,,24,24,24,AP
2018,regular,2,57,Florida,SEC,,25,25,25,AP
2018,regular,3,333,Alabama,SEC,,1,1,1,AP
2018,regular,3,228,Clemson,ACC,,2,2,2,AP
2018,regular,3,61,Georgia,SEC,,3,3,3,AP
2018,regular,3,194,Ohio State,Big Ten,,4,4,4,AP
2018,regular,3,201,Oklahoma,Big 12,,5,5,5,AP
2018,regular,3,275,Wisconsin,Big Ten,,6,6,6,AP
2018,regular,3,2,Auburn,SEC,,7,7,7,AP
2018,regular,3,87,Notre Dame,FBS Independents,,8,8,8,AP
2018,regular,3,24,Stanford,Pac-12,,9,9,9,AP
2018,regular,3,264,Washington,Pac-12,,10,12,10,AP
2018,regular,3,213,Penn State,Big Ten,,11,10,11,AP
2018,regular,3,99,LSU,SEC,,12,13,12,AP
2018,regular,3,259,Virginia Tech,ACC,,13,11,13,AP
2018,regular,3,277,West Virginia,Big 12,,14,15,14,AP
2018,regular,3,2628,TCU,Big 12,,15,14,15,AP
2018,regular,3,344,Mississippi State,SEC,,16,16,16,AP
2018,regular,3,68,Boise State,Mountain West,,17,17,17,AP
2018,regular,3,2116,UCF,American Athletic,,18,18,18,AP
2018,regular,3,130,Michigan,Big Ten,,19,22,19,AP
2018,regular,3,2483,Oregon,Pac-12,,20,23,20,AP
2018,regular,3,2390,Miami,ACC,,21,20,21,AP
2018,regular,3,30,USC,Pac-12,,22,21,22,AP
2018,regular,3,9,Arizona State,Pac-12,,23,25,23,AP
2018,regular,3,197,Oklahoma State,Big 12,,24,19,24,AP
2018,regular,3,127,Michigan State,Big Ten,,25,24,25,AP
2018,regular,4,333,Alabama,SEC,,1,1,1,AP
2018,regular,4,61,Georgia,SEC,,2,3,2,AP
2018,regular,4,228,Clemson,ACC,,3,2,3,AP
2018,regular,4,194,Ohio State,Big Ten,,4,4,4,AP
2018,regular,4,201,Oklahoma,Big 12,,5,5,5,AP
2018,regular,4,99,LSU,SEC,,6,6,6,AP
2018,regular,4,24,Stanford,Pac-12,,7,7,7,AP
2018,regular,4,87,Notre Dame,FBS Independents,,8,8,8,AP
2018,regular,4,2,Auburn,SEC,,9,11,9,AP
2018,regular,4,213,Penn State,Big Ten,,10,9,10,AP
2018,regular,4,264,Washington,Pac-12,,10,12,10,AP
2018,regular,4,277,West Virginia,Big 12,,12,13,12,AP
2018,regular,4,259,Virginia Tech,ACC,,13,10,13,AP
2018,regular,4,344,Mississippi State,SEC,,14,14,14,AP
2018,regular,4,197,Oklahoma State,Big 12,,15,15,15,AP
2018,regular,4,2116,UCF,American Athletic,,16,18,16,AP
2018,regular,4,2628,TCU,Big 12,,17,17,17,AP
2018,regular,4,275,Wisconsin,Big Ten,,18,16,18,AP
2018,regular,4,130,Michigan,Big Ten,,19,21,19,AP
2018,regular,4,2483,Oregon,Pac-12,,20,19,20,AP
2018,regular,4,2390,Miami,ACC,,21,20,21,AP
2018,regular,4,245,Texas A&M,SEC,,22,22,22,AP
2018,regular,4,103,Boston College,ACC,,23,25,23,AP
2018,regular,4,68,Boise State,Mountain West,,,24,24,Coaches
2018,regular,4,127,Michigan State,Big Ten,,24,23,24,AP
2018,regular,4,252,BYU,FBS Independents,,25,,25,AP
2018,regular,5,333,Alabama,SEC,,1,1,1,AP
2018,regular,5,61,Georgia,SEC,,2,3,2,AP
2018,regular,5,228,Clemson,ACC,,3,2,3,AP
2018,regular,5,194,Ohio State,Big Ten,,4,4,4,AP
2018,regular,5,99,LSU,SEC,,5,6,5,AP
2018,regular,5,201,Oklahoma,Big 12,,6,5,6,AP
2018,regular,5,24,Stanford,Pac-12,,7,7,7,AP
2018,regular,5,87,Notre Dame,FBS Independents,,8,8,8,AP
2018,regular,5,213,Penn State,Big Ten,,9,9,9,AP
2018,regular,5,2,Auburn,SEC,,10,10,10,AP
2018,regular,5,264,Washington,Pac-12,,11,11,11,AP
2018,regular,5,277,West Virginia,Big 12,,12,12,12,AP
2018,regular,5,2116,UCF,American Athletic,,13,14,13,AP
2018,regular,5,130,Michigan,Big Ten,,14,15,14,AP
2018,regular,5,275,Wisconsin,Big Ten,,15,13,15,AP
2018,regular,5,2390,Miami,ACC,,16,16,16,AP
2018,regular,5,96,Kentucky,SEC,,17,17,17,AP
2018,regular,5,251,Texas,Big 12,,18,22,18,AP
2018,regular,5,2483,Oregon,Pac-12,,19,20,19,AP
2018,regular,5,252,BYU,FBS Independents,,20,,20,AP
2018,regular,5,127,Michigan State,Big Ten,,21,18,21,AP
2018,regular,5,197,Oklahoma State,Big 12,,,21,21,Coaches
2018,regular,5,150,Duke,ACC,,22,23,22,AP
2018,regular,5,344,Mississippi State,SEC,,23,19,23,AP
2018,regular,5,25,California,Pac-12,,24,,24,AP
2018,regular,5,259,Virginia Tech,ACC,,,24,24,Coaches
2018,regular,5,68,Boise State,Mountain West,,,25,25,Coaches
2018,regular,5,2641,Texas Tech,Big 12,,25,,25,AP
2018,regular,6,333,Alabama,SEC,,1,1,1,AP
2018,regular,6,61,Georgia,SEC,,2,2,2,AP
2018,regular,6,194,Ohio State,Big Ten,,3,3,3,AP
2018,regular,6,228,Clemson,ACC,,4,4,4,AP
2018,regular,6,99,LSU,SEC,,5,6,5,AP
2018,regular,6,87,Notre Dame,FBS Independents,,6,7,6,AP
2018,regular,6,201,Oklahoma,Big 12,,7,5,7,AP
2018,regular,6,2,Auburn,SEC,,8,9,8,AP
2018,regular,6,277,West Virginia,Big 12,,9,8,9,AP
2018,regular,6,264,Washington,Pac-12,,10,10,10,AP
2018,regular,6,213,Penn State,Big Ten,,11,11,11,AP
