season,season_type,week,team_id,school,conference,cfp_rank,ap_rank,coaches_rank,effective_rank,ranking_source
2021,postseason,1,61,Georgia,SEC,,1,1,1,AP
2021,postseason,1,333,Alabama,SEC,,2,2,2,AP
2021,postseason,1,130,Michigan,Big Ten,,3,3,3,AP
2021,postseason,1,2132,Cincinnati,American Athletic,,4,4,4,AP
2021,postseason,1,239,Baylor,Big 12,,5,6,5,AP
2021,postseason,1,194,Ohio State,Big Ten,,6,5,6,AP
2021,postseason,1,197,Oklahoma State,Big 12,,7,7,7,AP
2021,postseason,1,87,Notre Dame,FBS Independents,,8,9,8,AP
2021,postseason,1,127,Michigan State,Big Ten,,9,8,9,AP
2021,postseason,1,201,Oklahoma,Big 12,,10,10,10,AP
2021,postseason,1,145,Ole Miss,SEC,,11,11,11,AP
2021,postseason,1,254,Utah,Pac-12,,12,12,12,AP
2021,postseason,1,221,Pittsburgh,ACC,,13,13,13,AP
2021,postseason,1,228,Clemson,ACC,,14,16,14,AP
2021,postseason,1,154,Wake Forest,ACC,,15,14,15,AP
2021,postseason,1,309,Louisiana,Sun Belt,,16,18,16,AP
2021,postseason,1,248,Houston,American Athletic,,17,17,17,AP
2021,postseason,1,96,Kentucky,SEC,,18,15,18,AP
2021,postseason,1,252,BYU,FBS Independents,,19,22,19,AP
2021,postseason,1,152,NC State,ACC,,20,19,20,AP
2021,postseason,1,8,Arkansas,SEC,,21,20,21,AP
2021,postseason,1,2483,Oregon,Pac-12,,22,21,22,AP
2021,postseason,1,2294,Iowa,Big Ten,,23,23,23,AP
2021,postseason,1,328,Utah State,Mountain West,,24,24,24,AP
2021,postseason,1,21,San Diego State,Mountain West,,25,,25,AP
2021,postseason,1,245,Texas A&M,SEC,,,25,25,Coaches
2021,regular,1,333,Alabama,SEC,,1,1,1,AP
2021,regular,1,201,Oklahoma,Big 12,,2,3,2,AP
2021,regular,1,228,Clemson,ACC,,3,2,3,AP
2021,regular,1,194,Ohio State,Big Ten,,4,4,4,AP
2021,regular,1,61,Georgia,SEC,,5,5,5,AP
2021,regular,1,245,Texas A&M,SEC,,6,6,6,AP
2021,regular,1,66,Iowa State,Big 12,,7,8,7,AP
2021,regular,1,2132,Cincinnati,American Athletic,,8,10,8,AP
2021,regular,1,87,Notre Dame,FBS Independents,,9,7,9,AP
2021,regular,1,153,North Carolina,ACC,,10,9,10,AP
2021,regular,1,2483,Oregon,Pac-12,,11,12,11,AP
2021,regular,1,275,Wisconsin,Big Ten,,12,15,12,AP
2021,regular,1,57,Florida,SEC,,13,11,13,AP
2021,regular,1,2390,Miami,ACC,,14,16,14,AP
2021,regular,1,30,USC,Pac-12,,15,14,15,AP
2021,regular,1,99,LSU,SEC,,16,13,16,AP
2021,regular,1,84,Indiana,Big Ten,,17,17,17,AP
2021,regular,1,2294,Iowa,Big Ten,,18,18,18,AP
2021,regular,1,213,Penn State,Big Ten,,19,20,19,AP
2021,regular,1,264,Washington,Pac-12,,20,21,20,AP
2021,regular,1,251,Texas,Big 12,,21,19,21,AP
2021,regular,1,197,Oklahoma State,Big 12,,,22,22,Coaches
2021,regular,1,324,Coastal Carolina,Sun Belt,,22,24,22,AP
2021,regular,1,309,Louisiana,Sun Belt,,23,23,23,AP
2021,regular,1,254,Utah,Pac-12,,24,,24,AP
2021,regular,1,9,Arizona State,Pac-12,,25,,25,AP
2021,regular,1,145,Ole Miss,SEC,,,25,25,Coaches
2021,regular,2,333,Alabama,SEC,,1,1,1,AP
2021,regular,2,61,Georgia,SEC,,2,2,2,AP
2021,regular,2,194,Ohio State,Big Ten,,3,3,3,AP
2021,regular,2,201,Oklahoma,Big 12,,4,4,4,AP
2021,regular,2,245,Texas A&M,SEC,,5,5,5,AP
2021,regular,2,228,Clemson,ACC,,6,6,6,AP
2021,regular,2,2132,Cincinnati,American Athletic,,7,8,7,AP
2021,regular,2,87,Notre Dame,FBS Independents,,8,7,8,AP
2021,regular,2,66,Iowa State,Big 12,,9,10,9,AP
2021,regular,2,2294,Iowa,Big Ten,,10,12,10,AP
2021,regular,2,213,Penn State,Big Ten,,11,13,11,AP
2021,regular,2,2483,Oregon,Pac-12,,12,11,12,AP
2021,regular,2,57,Florida,SEC,,13,9,13,AP
2021,regular,2,30,USC,Pac-12,,14,14,14,AP
2021,regular,2,251,Texas,Big 12,,15,15,15,AP
2021,regular,2,26,UCLA,Pac-12,,16,16,16,AP
2021,regular,2,324,Coastal Carolina,Sun Belt,,17,19,17,AP
2021,regular,2,275,Wisconsin,Big Ten,,18,17,18,AP
2021,regular,2,259,Virginia Tech,ACC,,19,21,19,AP
2021,regular,2,145,Ole Miss,SEC,,20,20,20,AP
2021,regular,2,254,Utah,Pac-12,,21,18,21,AP
2021,regular,2,2390,Miami,ACC,,22,24,22,AP
2021,regular,2,9,Arizona State,Pac-12,,23,25,23,AP
2021,regular,2,197,Oklahoma State,Big 12,,,23,23,Coaches
2021,regular,2,153,North Carolina,ACC,,24,22,24,AP
2021,regular,2,2,Auburn,SEC,,25,,25,AP
2021,regular,3,333,Alabama,SEC,,1,1,1,AP
2021,regular,3,61,Georgia,SEC,,2,2,2,AP
2021,regular,3,201,Oklahoma,Big 12,,3,3,3,AP
2021,regular,3,2483,Oregon,Pac-12,,4,4,4,AP
2021,regular,3,2294,Iowa,Big Ten,,5,7,5,AP
2021,regular,3,228,Clemson,ACC,,6,6,6,AP
2021,regular,3,245,Texas A&M,SEC,,7,5,7,AP
2021,regular,3,2132,Cincinnati,American Athletic,,8,8,8,AP
2021,regular,3,194,Ohio State,Big Ten,,9,11,9,AP
2021,regular,3,213,Penn State,Big Ten,,10,12,10,AP
2021,regular,3,57,Florida,SEC,,11,9,11,AP
2021,regular,3,87,Notre Dame,FBS Independents,,12,10,12,AP
2021,regular,3,26,UCLA,Pac-12,,13,13,13,AP
2021,regular,3,66,Iowa State,Big 12,,14,14,14,AP
2021,regular,3,259,Virginia Tech,ACC,,15,15,15,AP
2021,regular,3,324,Coastal Carolina,Sun Belt,,16,18,16,AP
2021,regular,3,145,Ole Miss,SEC,,17,16,17,AP
2021,regular,3,275,Wisconsin,Big Ten,,18,17,18,AP
2021,regular,3,9,Arizona State,Pac-12,,19,21,19,AP
2021,regular,3,8,Arkansas,SEC,,20,24,20,AP
2021,regular,3,153,North Carolina,ACC,,21,19,21,AP
2021,regular,3,2,Auburn,SEC,,22,20,22,AP
2021,regular,3,197,Oklahoma State,Big 12,,,22,22,Coaches
2021,regular,3,252,BYU,FBS Independents,,23,23,23,AP
2021,regular,3,2390,Miami,ACC,,24,,24,AP
2021,regular,3,130,Michigan,Big Ten,,25,25,25,AP
2021,regular,4,333,Alabama,SEC,,1,1,1,AP
2021,regular,4,61,Georgia,SEC,,2,2,2,AP
2021,regular,4,2483,Oregon,Pac-12,,3,4,3,AP
2021,regular,4,201,Oklahoma,Big 12,,4,3,4,AP
2021,regular,4,2294,Iowa,Big Ten,,5,6,5,AP
2021,regular,4,213,Penn State,Big Ten,,6,8,6,AP
2021,regular,4,245,Texas A&M,SEC,,7,5,7,AP
2021,regular,4,2132,Cincinnati,American Athletic,,8,9,8,AP
2021,regular,4,228,Clemson,ACC,,9,7,9,AP
2021,regular,4,194,Ohio State,Big Ten,,10,12,10,AP
2021,regular,4,57,Florida,SEC,,11,11,11,AP
2021,regular,4,87,Notre Dame,FBS Independents,,12,10,12,AP
2021,regular,4,145,Ole Miss,SEC,,13,13,13,AP
2021,regular,4,66,Iowa State,Big 12,,14,14,14,AP
2021,regular,4,252,BYU,FBS Independents,,15,16,15,AP
2021,regular,4,8,Arkansas,SEC,,16,18,16,AP
2021,regular,4,324,Coastal Carolina,Sun Belt,,17,17,17,AP
2021,regular,4,275,Wisconsin,Big Ten,,18,15,18,AP
2021,regular,4,130,Michigan,Big Ten,,19,19,19,AP
2021,regular,4,127,Michigan State,Big Ten,,20,21,20,AP
2021,regular,4,153,North Carolina,ACC,,21,20,21,AP
2021,regular,4,197,Oklahoma State,Big 12,,,22,22,Coaches
2021,regular,4,278,Fresno State,Mountain West,,22,25,22,AP
2021,regular,4,2,Auburn,SEC,,23,23,23,AP
2021,regular,4,26,UCLA,Pac-12,,24,24,24,AP
2021,regular,4,2306,Kansas State,Big 12,,25,,25,AP
2021,regular,5,333,Alabama,SEC,,1,1,1,AP
2021,regular,5,61,Georgia,SEC,,2,2,2,AP
2021,regular,5,2483,Oregon,Pac-12,,3,3,3,AP
2021,regular,5,213,Penn State,Big Ten,,4,6,4,AP
2021,regular,5,2294,Iowa,Big Ten,,5,5,5,AP
2021,regular,5,201,Oklahoma,Big 12,,6,4,6,AP
2021,regular,5,2132,Cincinnati,American Athletic,,7,8,7,AP
2021,regular,5,8,Arkansas,SEC,,8,11,8,AP
2021,regular,5,87,Notre Dame,FBS Independents,,9,7,9,AP
2021,regular,5,57,Florida,SEC,,10,9,10,AP
2021,regular,5,194,Ohio State,Big Ten,,11,10,11,AP
2021,regular,5,145,Ole Miss,SEC,,12,12,12,AP
2021,regular,5,252,BYU,FBS Independents,,13,15,13,AP
2021,regular,5,130,Michigan,Big Ten,,14,14,14,AP
2021,regular,5,245,Texas A&M,SEC,,15,13,15,AP
2021,regular,5,324,Coastal Carolina,Sun Belt,,16,16,16,AP
2021,regular,5,127,Michigan State,Big Ten,,17,16,17,AP
2021,regular,5,278,Fresno State,Mountain West,,18,21,18,AP
2021,regular,5,197,Oklahoma State,Big 12,,19,18,19,AP
2021,regular,5,26,UCLA,Pac-12,,20,20,20,AP
2021,regular,5,239,Baylor,Big 12,,21,24,21,AP
2021,regular,5,2,Auburn,SEC,,22,22,22,AP
2021,regular,5,96,Kentucky,SEC,,,23,23,Coaches
2021,regular,5,152,NC State,ACC,,23,,23,AP
2021,regular,5,154,Wake Forest,ACC,,24,25,24,AP
2021,regular,5,228,Clemson,ACC,,25,19,25,AP
2021,regular,6,333,Alabama,SEC,,1,1,1,AP
2021,regular,6,61,Georgia,SEC,,2,2,2,AP
2021,regular,6,2294,Iowa,Big Ten,,3,3,3,AP
2021,regular,6,213,Penn State,Big Ten,,4,4,4,AP
2021,regular,6,2132,Cincinnati,American Athletic,,5,6,5,AP
2021,regular,6,201,Oklahoma,Big 12,,6,5,6,AP
2021,regular,6,194,Ohio State,Big Ten,,7,7,7,AP
2021,regular,6,2483,Oregon,Pac-12,,8,9,8,AP
2021,regular,6,130,Michigan,Big Ten,,9,8,9,AP
2021,regular,6,252,BYU,FBS Independents,,10,10,10,AP
2021,regular,6,127,Michigan State,Big Ten,,11,11,11,AP
2021,regular,6,197,Oklahoma State,Big 12,,12,12,12,AP
2021,regular,6,8,Arkansas,SEC,,13,16,13,AP
2021,regular,6,87,Notre Dame,FBS Independents,,14,13,14,AP
2021,regular,6,324,Coastal Carolina,Sun Belt,,15,15,15,AP
2021,regular,6,96,Kentucky,SEC,,16,14,16,AP
2021,regular,6,145,Ole Miss,SEC,,17,17,17,AP
2021,regular,6,2,Auburn,SEC,,18,19,18,AP
2021,regular,6,154,Wake Forest,ACC,,19,20,19,AP
2021,regular,6,57,Florida,SEC,,20,18,20,AP
2021,regular,6,228,Clemson,ACC,,,21,21,Coaches
2021,regular,6,251,Texas,Big 12,,21,23,21,AP
2021,regular,6,9,Arizona State,Pac-12,,22,25,22,AP
2021,regular,6,152,NC State,ACC,,23,22,23,AP
2021,regular,6,2567,SMU,American Athletic,,24,24,24,AP
2021,regular,6,21,San Diego State,Mountain West,,25,,25,AP
2021,regular,7,61,Georgia,SEC,,1,1,1,AP
2021,regular,7,2294,Iowa,Big Ten,,2,2,2,AP
2021,regular,7,2132,Cincinnati,American Athletic,,3,4,3,AP
2021,regular,7,201,Oklahoma,Big 12,,4,3,4,AP
2021,regular,7,333,Alabama,SEC,,5,5,5,AP
2021,regular,7,194,Ohio State,Big Ten,,6,6,6,AP
2021,regular,7,213,Penn State,Big Ten,,7,8,7,AP
2021,regular,7,130,Michigan,Big Ten,,8,7,8,AP
2021,regular,7,2483,Oregon,Pac-12,,9,10,9,AP
2021,regular,7,127,Michigan State,Big Ten,,10,9,10,AP
2021,regular,7,96,Kentucky,SEC,,11,11,11,AP
2021,regular,7,197,Oklahoma State,Big 12,,12,12,12,AP
2021,regular,7,145,Ole Miss,SEC,,13,14,13,AP
